Name,Age,Gender,Nationality,Net Worth (Billion USD),Industry
Elon Musk,53,Male,United States,373,Technology
Bernard Arnault,76,Male,France,149,Fashion & Retail
Mukesh Ambani,68,Male,India,98,Diversified
Zhong Shanshan,70,Male,China,57,Food & Beverage
Amancio Ortega,89,Male,Spain,125,Fashion & Retail
Dieter Schwarz,85,Male,Germany,47,Service
Carlos Slim,85,Male,Mexico,93,Telecom
Vladimir Potanin,64,Male,Russia,24,Metals & Mining
David Thomson,67,Male,Canada,10,Media & Entertainment
Giovanni Ferrero,61,Male,Italy,40,Food & Beverage
